Round,Table,Players,Decks,Winner
Round 1,217,"treefr0gg
Arwad He/Him","Mono-Green Landfall
Dimir Midrange",Arwad won 2-0-0
Round 1,218,"wuxxd He/Him
Narzyss","Mono-Green
Azorius Prison",Narzyss won 2-1-0
Round 1,219,"djsuk She/Her
Nikita Yurochko He/Him","-
-",djsuk won 2-1-0
Round 1,220,"Elia Libralato He/Him
Charles Rivet He/Him","Bant Rhythm
Izzet Prowess",Charles Rivet won 2-1-0
Round 1,221,"SimD22
Enrico Libralato He/Him","Jeskai Control
Azorius Prison",SimD22 won 2-0-0
Round 1,222,"jwhiley93 He/Him
ADSandslash He/They","Orzhov Sacrifice
Azorius Artifacts",ADSandslash won 2-1-0
Round 1,223,"Kjetil Wevling He/Him
Claes de Graaff","Izzet Spellementals
Izzet Prowess",Kjetil Wevling won 2-1-0
Round 1,224,"Ben Jones
Cosmin Achim He/Him","Izzet Lessons
Mardu Demons",Ben Jones won 2-1-0
Round 1,225,"Sindre Mortensen
Mattia Colombo He/Him","Selesnya Rhythm
Dimir Control",Mattia Colombo won 2-0-0
Round 1,226,"Yiannis Kyriazis
AARB12 He/Him","Four-Color Control
Azorius Prison",1-1-0 Draw
Round 1,227,"EriS28 He/Him
M0J0 He/Him","Izzet Aggro
Dimir Midrange",M0J0 won 2-1-0
Round 1,228,"Picomtg
Felix Wieland He/Him","Bant Rhythm
Sultai Midrange",Picomtg won 2-1-0
Round 1,229,"JJ Hidson He/Him
JamesTaylor He/Him","Mono-Green Chocobo
Selesnya Landfall",JamesTaylor won 2-0-0
Round 1,230,"Ine Jernelv
Elyacht","Izzet Lessons
Izzet Prowess",Ine Jernelv won 2-0-0
Round 1,231,"Olphod He/Him
Dan McCarthy He/Him","Mardu Discard
Azorius Prison",Dan McCarthy won 2-1-0
Round 1,232,"Jack Young He/Him
Sergio Seoane He/Him","Izzet Spellementals
Selesnya Landfall",Sergio Seoane won 2-1-0
Round 1,233,"Coachjennsen23 He/Him
Nabil","Boros Dragons
Izzet Prowess",Nabil won 2-1-0
Round 1,234,"wailingpath He/Him
Bratwurst","Orzhov Lifegain
Selesnya Landfall",Bratwurst won 2-0-0
Round 1,235,"Decio Sacco He/Him
CraigLong He/Him","Selesnya Ouroboroid
Dimir Excruciator",Decio Sacco won 2-1-0
Round 1,236,"Andreas Nordahl
Léo Guimard He/Him","Izzet
Selesnya Landfall",Léo Guimard won 2-1-0
Round 1,237,"Freddie Barber He/Him
AgentEdward","Gruul Leyline
Izzet Prowess",AgentEdward won 2-0-0
Round 1,238,"Elevenzees He/Him
williametchells He/Him","Izzet Lessons
Naya Legends",Elevenzees won 2-1-0
Round 1,239,"Jonatan Svendsen He/Him
Gonçalo Paneiro He/Him","Selesnya Landfall
Izzet Prowess",Jonatan Svendsen won 2-0-0
Round 1,240,"Lilian Lescure He/Him
Kun150 He/Him","Dimir Excruciator
Dimir Excruciator",Kun150 won 2-0-0
Round 1,241,"Maciej Barwik He/Him
ollei He/Him","Izzet Prowess
Izzet Prowess",Maciej Barwik won 2-0-0
Round 1,242,"Andrew Fiedler He/Him
SayNuthinTillYaSeeClaude He/Him","Dimir Excruciator
Jeskai Control",Andrew Fiedler won 2-0-0
Round 1,243,"Francesco Alacca He/Him
Alex Day","Izzet Lessons
Jund Leyline",Francesco Alacca won 2-1-0
Round 1,244,"Cedric Gäde
Alvaro Fernandez Torres He/Him","Azorius Prison
Izzet Prowess",Alvaro Fernandez Torres won 2-1-0
Round 1,245,"Zijun Wang He/Him
Pier Iaquinta He/Him","Temur Harmonizer
Jeskai Control",Zijun Wang won 2-0-0
Round 1,246,"Jake Swales He/They
Nuno Duarte","Izzet Lessons
Dimir Excruciator",Jake Swales won 2-1-0
Round 1,247,"Jonny Gu He/Him
Derek Choi He/Him","Izzet Spellementals
Dimir Excruciator",Jonny Gu won 2-1-0
Round 1,248,"Patrick Burchert He/Him
Tommi Erola He/Him","Azorius Prison
Mono-Green Landfall",Tommi Erola won 2-1-0
Round 1,249,"Koen de Vos
Emilio Morabito","Azorius Momo
Izzet Prowess",Koen de Vos won 2-0-0
Round 1,250,"Francisco Sanchez
Barry Horwood He/Him","Temur
Azorius Pixie",Francisco Sanchez won 2-0-0
Round 1,251,"George Berrett He/Him
Gwendolyn Noble She/Her","Dimir Excruciator
Bant Rhythm",George Berrett won 2-0-0
Round 1,252,"Ozan Sevsevil He/Him
Nicholas Brown","Jeskai Control
Selesnya Landfall",Nicholas Brown won 2-0-0
Round 1,253,"spikesmaster He/Him
Ode2TheMets He/Him","Selesnya Ouroboroid
Mono-Green Landfall",spikesmaster won 2-0-0
Round 1,254,"ClaudioBisioo
Rakhi09 She/They","Four-Color Control
Izzet Prowess",ClaudioBisioo won 2-0-0
Round 1,255,"Alex Hillier He/Him
jlc93 He/Him","Four-Color Elementals
Selesnya Rabbits",Alex Hillier won 2-0-0
Round 1,256,"alexwalton64 He/Him
Shin33 He/Him","Izzet Spellementals
Dimir Combo",alexwalton64 won 2-0-0
Round 1,257,"iamkrazy1 He/Him
Sebastian Sachse","Izzet Prowess
Temur Harmonizer",Sebastian Sachse won 2-0-0
Round 1,258,"AlexG1995 He/Him
Vincent Pernel He/Him","Mono-Green Landfall
Dimir Artifacts",Vincent Pernel won 2-0-0
Round 1,259,"Gonaclo Magalhães Diogo He/Him
krystianM He/Him","Izzet Prowess
Izzet Lessons",Gonaclo Magalhães Diogo won 2-1-0
Round 1,260,"BenR4
Thraxi He/Him","Jeskai Control
Mono-Green Landfall",BenR4 won 2-0-0
Round 1,261,"Mikkel Vestergaard He/Him
Crowtaur She/Her","Four-Color Control
Izzet Prowess",Crowtaur won 2-1-0
Round 1,262,"Cristian Jimenez He/Him
Félix Maurin He/Him","Four-Color Control
Orzhov Momo",Cristian Jimenez won 2-1-0
Round 1,263,"DomS17 He/Him
Stefan Kramm","Izzet Prowess
Boros Dragons",Stefan Kramm won 2-1-0
Round 1,264,"Henry Cooke
addypalooza","Izzet Prowess
Golgari Crimes",addypalooza won 2-1-0
Round 1,265,"Klaus_Mikaelson He/Him
Max Blümel He/Him","Four-Color Control
Izzet Prowess",Klaus_Mikaelson won 2-0-0
Round 1,266,"Robin Clark She/Her
Theodor eliassen He/Him","Sultai Reanimator
Izzet Lessons",Theodor eliassen won 2-1-0
Round 1,267,"RomainAlexandre He/Him
Nate314 He/Him","Izzet Spellementals
Mono-White Momo",Nate314 won 2-0-0
Round 1,268,"Alexander Maier He/Him
Jammyf99 He/Him","Izzet Lessons
Sultai Reanimator",Jammyf99 won 2-1-0
Round 1,269,"Pirrakos He/Him
nartin9 He/Him","Dimir Excruciator
Izzet Prowess",Pirrakos won 2-0-0
Round 1,270,"Mathew Mitchell He/Him
Pär Jones He/Him","Jeskai Control
Golgari Midrange",Mathew Mitchell won 2-1-0
Round 1,271,"Mattia_Pantiri He/Him
Thomas Duffy He/Him","Izzet Opus
Selesnya Landfall",Thomas Duffy won 2-0-0
Round 1,272,"Andrei M He/Him
Robert Young He/Him","Izzet Prowess
Golgari Ouroboroid",1-1-1 Draw
Round 1,273,"Tom Law He/Him
Martin Zimmermann He/Him","Selesnya Landfall
Selesnya Ouroboroid",Tom Law won 2-1-0
Round 1,274,"HowlingFjord He/Him
Juri Barkey He/Him","Golgari Demons
Izzet Spellementals",Juri Barkey won 2-1-0
Round 1,275,"Seal100 He/Him
Kowalski125 Other","Dimir Bounce
Allies",Seal100 won 2-1-0
Round 1,276,"Justien Balay
TomM27","Selesnya Ouroboroid
Dimir Midrange",Justien Balay won 2-0-0
Round 1,277,"T0bb3 He/Him
DarioCavallone","Izzet Prowess
Bant Rhythm",T0bb3 won 2-0-0
Round 1,278,"Diego Alcalde
Kamen Kamenov He/Him","Azorius
Four-Color Elementals",Kamen Kamenov won 2-1-0
Round 1,279,"Pawel Makles He/Him
Verduyn He/Him","Azorius Prison
Izzet Prowess",Pawel Makles won 2-0-0
Round 1,280,"Sam Milner He/Him
Bradley Bunce He/Him","Izzet Prowess
Azorius Prison",Bradley Bunce won 2-1-0
Round 1,281,"Louis Wilder He/Him
Luis Gobern He/Him","Izzet Prowess
Bant Rhythm",Louis Wilder won 2-1-0
Round 1,282,"Hannes Brandstetter
Marincas Victor","Selesnya Landfall
Grixis Deceit",Hannes Brandstetter won 2-0-0
Round 1,283,"Yann-Guillaume Jaccard He/Him
Bilbo_Baggins","Allies
Izzet Prowess",Yann-Guillaume Jaccard won 2-1-0
Round 1,284,"Marco Vassallo He/Him
John Kai Sang Ng He/Him","Sultai Excruciator
Dimir Excruciator",Marco Vassallo won 2-1-0
Round 1,285,"Foreverloney He/Him
Stephanos Economides He/Him","Mono-Green
Dimir Excruciator",Stephanos Economides won 2-0-0
Round 1,286,"Marie Kirkkola She/Her
Stefanos Fotiadis","Selesnya Landfall
Izzet Prowess",Marie Kirkkola won 2-0-0
Round 1,287,"Verena Maccari She/Her
Cal91 He/Him","Izzet Prowess
Dimir Deceit",Verena Maccari won 2-0-0
Round 1,288,"Pascal van Alphen
Alberto Santos","Izzet Prowess
Izzet Prowess",Alberto Santos won 2-0-0
Round 1,289,"Zues He/Him
ALANBBBK He/Him","Izzet Prowess
Sultai Changeling",ALANBBBK won 2-1-0
Round 1,290,"Stefan Schütz
Leonardo Canalejo He/Him","Bant Rhythm
Boros Dragons",Leonardo Canalejo won 2-1-0
Round 1,291,"Ashley Baden He/Him
HoneycombH She/Her","Mono-Green Landfall
Selesnya Landfall",HoneycombH won 2-0-0
Round 1,292,"Soulblighter
Miguel Magalhaes He/Him","Selesnya Ouroboroid
Selesnya Ouroboroid",Miguel Magalhaes won 2-0-0
Round 1,293,"Alexey Paulot He/Him
Rory McKay He/Him","Temur Lessons
Azorius Momo",Alexey Paulot won 2-1-0
Round 1,294,"Raynor Kuang He/Him
Stefano Spurio He/Him","Boros Dragons
Izzet Elementals",Raynor Kuang won 2-1-0
Round 1,295,"RamC1 He/Him
Martin Richardson He/Him","Izzet Lessons
Azorius Control",Martin Richardson won 2-0-0
Round 1,296,"Emil Rasmussen He/Him
Sean Goddard He/Him","Selesnya Landfall
Selesnya Ouroboroid",Sean Goddard won 2-0-0
Round 1,297,"Ghostfire17605 He/Him
AdriaGarciaSarmiento He/Him","Golgari Midrange
Azorius Prison",AdriaGarciaSarmiento won 2-0-0
Round 1,298,"André Compal
Idris Killen He/Him","Selesnya Landfall
Izzet Lessons",André Compal won 2-1-0
Round 1,299,"drakharrris He/Him
Carlos Pacheco He/Him","Izzet Lessons
W-U-B-R Control",drakharrris won 2-1-0
Round 1,300,"Craig Tanner He/Him
LuiC2 He/Him","Izzet Prowess
-",Craig Tanner won 2-1-0
Round 1,301,"Keanjoy He/Him
Overgrime He/They","Izzet Prowess
Dimir Midrange",Keanjoy won 2-0-0
Round 1,302,"André Santos
DanS106 He/Him","Selesnya Landfall
Izzet Control",André Santos won 2-0-0
Round 2,-,gabriele tribulato Ze/zir,Bant Rhythm,gabriele tribulato was assigned a bye
Round 2,1,"Nostromo He/Him
Marcio Carvalho","Izzet Prowess
Selesnya Landfall",Nostromo won 2-1-0
Round 2,2,"JamesTaylor He/Him
Jakub Janáč","Selesnya Landfall
Izzet Prowess",Jakub Janáč won 2-0-0
Round 2,3,"Charles Eliatamby He/Him
Conrad Scherb","Bant Rhythm
Jeskai Control",Charles Eliatamby won 2-1-0
Round 2,4,"Kristoffer Roland He/Him
Dan McCarthy He/Him","Gruul Leyline
Azorius Prison",Kristoffer Roland won 2-1-0
Round 2,5,"ShababC He/Him
Leaham He/Him","Simic Rhythm
Selesnya Landfall",ShababC won 2-0-0
Round 2,6,"ophoox He/Him
DarkDeno","Boros Dragons
Selesnya Landfall",DarkDeno won 2-1-0
Round 2,7,"Luke Merryweather He/Him
Patrickleydecker He/Him","Izzet Lessons
Izzet Spellementals",Luke Merryweather won 2-0-0
Round 2,8,"Philipp Schwaiger
WompRat He/Him","Abzan Bats
Boros Mobilize",Philipp Schwaiger won 2-1-0
Round 2,9,"Raynor Kuang He/Him
Gavin Thacker","Boros Dragons
Boros Dragons",Raynor Kuang won 2-0-0
Round 2,10,"Stephanos Economides He/Him
Ine Jernelv","Dimir Excruciator
Izzet Lessons",Ine Jernelv won 2-1-0
Round 2,11,"LinkangYang He/Him
Vittorio Viti","Izzet Lessons
Four-Color Control",Vittorio Viti won 2-0-0
Round 2,12,"EricZhou He/Him
Jasper Nielsen He/Him","Izzet Prowess
Izzet Spellementals",EricZhou won 2-0-0
Round 2,13,"Manuel Danninger He/Him
Draysor He/Him","Izzet Lessons
Selesnya Landfall",Draysor won 2-1-0
Round 2,14,"Andrei Nikolov
Victor Simon Wilhelm Lumholtz He/Him","Izzet Prowess
Selesnya Ouroboroid",Victor Simon Wilhelm Lumholtz won 2-0-0
Round 2,15,"Alexey Paulot He/Him
Oscar Christensen He/Him","Temur Lessons
Selesnya Ouroboroid",Oscar Christensen won 2-0-0
Round 2,16,"Enchanted He/Him
addypalooza","Temur Omniscience
Golgari Crimes",Enchanted won 2-1-0
Round 2,17,"Tien Thanh Pham He/Him
Daniel Aranyi He/Him","Azorius Prison
Izzet Spellementals",Tien Thanh Pham won 2-0-0
Round 2,18,"Andy Stephens He/Him
GliedTamas He/Him","Selesnya Landfall
Sultai Control",Andy Stephens won 2-1-0
Round 2,19,"Decio Sacco He/Him
Lubos Leskovjansky He/They","Selesnya Ouroboroid
Mono-White Momo",Decio Sacco won 2-0-0
Round 2,20,"Jadrzwi He/Him
Storm Losell He/Him","Izzet Lessons
Selesnya Landfall",Jadrzwi won 2-0-0
Round 2,21,"Pierre Liebsch He/Him
Gwen Wall She/Her","Temur Harmonizer
Azorius Prison",Pierre Liebsch won 2-1-0
Round 2,22,"kristofff He/Him
Verena Maccari She/Her","Dimir Excruciator
Izzet Prowess",Verena Maccari won 2-1-0
Round 2,23,"Vincent Pernel He/Him
Sören Liesener He/Him","Dimir Artifacts
Selesnya Ouroboroid",Sören Liesener won 2-0-0
Round 2,24,"oDwin He/Him
manyrollies","Orzhov Momo
Izzet Spellementals",oDwin won 2-0-0
Round 2,25,"Dorian Wiese He/Him
Chris Grenville He/Him","Golgari Midrange
Izzet Prowess",Dorian Wiese won 2-0-0
Round 2,26,"Manuel Nowak He/Him
Titouan LE BERRE He/Him","Selesnya Rhythm
Izzet Prowess",Titouan LE BERRE won 2-0-0
Round 2,27,"Alvaro Fernandez Torres He/Him
Theodor eliassen He/Him","Izzet Prowess
Izzet Lessons",Alvaro Fernandez Torres won 2-0-0
Round 2,28,"vixmac22 She/Her
Louis Wilder He/Him","Izzet Spellementals
Izzet Prowess",Louis Wilder won 2-0-0
Round 2,29,"AlexMacIsaac He/Him
Tom Law He/Him","Izzet Prowess
Selesnya Landfall",AlexMacIsaac won 2-1-0
Round 2,30,"André Santos
milesofford He/Him","Selesnya Landfall
Sultai Reanimator",milesofford won 2-1-0
Round 2,31,"Arwad He/Him
Douglas Penman He/Him","Dimir Midrange
Selesnya Ouroboroid",Arwad won 2-1-0
Round 2,32,"Jan Pruchniewicz He/Him
Kjetil Wevling He/Him","Simic Omniscience
Izzet Spellementals",Jan Pruchniewicz won 2-1-0
Round 2,33,"Pebus101 He/Him
Gonaclo Magalhães Diogo He/Him","Bant Rhythm
Izzet Prowess",Gonaclo Magalhães Diogo won 2-1-0
Round 2,34,"Tommi Erola He/Him
Pawel Makles He/Him","Mono-Green Landfall
Azorius Prison",Tommi Erola won 2-1-0
Round 2,35,"Yann-Guillaume Jaccard He/Him
Francisco Sanchez","Allies
Izzet Prowess",Yann-Guillaume Jaccard won 2-1-0
Round 2,36,"Geko
felipins He/Him","Izzet Aggro
Dimir Excruciator",felipins won 2-0-0
Round 2,37,"Charles Rivet He/Him
Jacob1200 He/Him","Izzet Prowess
Azorius Otters",Charles Rivet won 2-1-0
Round 2,38,"shaneoc He/Him
Craig Tanner He/Him","Izzet Prowess
Izzet Prowess",Craig Tanner won 2-0-0
Round 2,39,"Horia Vernescu He/Him
ALANBBBK He/Him","Selesnya Ouroboroid
Sultai Changeling",Horia Vernescu won 2-0-0
Round 2,40,"Kun150 He/Him
Gary Smith He/Him","Dimir Excruciator
Jeskai Control",Gary Smith won 2-1-0
Round 2,41,"HarW7
Klaus_Mikaelson He/Him","Four-Color Control
Four-Color Control",Klaus_Mikaelson won 2-0-0
Round 2,42,"pileshuffle
Pedro Magalhães He/Him","Four-Color Elementals
Boros Dragons",Pedro Magalhães won 2-1-0
Round 2,43,"ADSandslash He/They
swxgv He/Him","Azorius Artifacts
Izzet Prowess",swxgv won 2-1-0
Round 2,44,"Thomas Walder
Gerardo D'Elia He/Him","Mardu Artifacts
Jeskai Control",Gerardo D'Elia won 2-0-0
Round 2,45,"JackTheJester He/Him
Sergio Seoane He/Him","Four-Color Control
Selesnya Landfall",JackTheJester won 2-1-0
Round 2,46,"Tim Paplewski He/Him
Morgan Lebrument He/Him","Dimir Excruciator
Izzet Prowess",1-1-0 Draw
Round 2,47,"Andrew Fiedler He/Him
Justien Balay","Dimir Excruciator
Selesnya Ouroboroid",Andrew Fiedler won 2-1-0
Round 2,48,"Juan Godoy He/Him
Dan Robinson","Four-Color Elementals
Boros Dragons",Juan Godoy won 2-0-0
Round 2,49,"Sebastian Sachse
Edward Cushion He/Him","Temur Harmonizer
Izzet Lessons",Edward Cushion won 2-1-0
Round 2,50,"Maxime Desiront He/Him
SrKaronte He/Him","Sultai Reanimator
Azorius Artifacts",Maxime Desiront won 2-0-0
Round 2,51,"BenR4
Ignacio Garcia He/Him","Jeskai Control
Azorius Momo",Ignacio Garcia won 2-1-0
Round 2,52,"Zijun Wang He/Him
Callum Bousfield","Temur Harmonizer
Izzet Prowess",Callum Bousfield won 2-0-0
Round 2,53,"Christian Mayr He/Him
Jonas_Erbe","Four-Color Elementals
Simic Rhythm",Christian Mayr won 2-0-0
Round 2,54,"AgentEdward
spikesmaster He/Him","Izzet Prowess
Selesnya Ouroboroid",spikesmaster won 2-0-0
Round 2,55,"Noah Bacine He/Him
Aidan Currah","Jeskai Control
Selesnya Landfall",Noah Bacine won 2-1-0
Round 2,56,"drakharrris He/Him
George Berrett He/Him","Izzet Lessons
Dimir Excruciator",drakharrris won 2-0-0
Round 2,57,"Jonny Gu He/Him
Alex Campbell","Izzet Spellementals
Jeskai Control",Alex Campbell won 2-0-0
Round 2,58,"Edgar Baumler He/Him
Michael Baalham","Bant Rhythm
Selesnya Landfall",Michael Baalham won 2-0-0
Round 2,59,"Nabil
Keanjoy He/Him","Izzet Prowess
Izzet Prowess",Nabil won 2-1-0
Round 2,60,"Filipe Gusmão He/Him
Nate314 He/Him","Golgari Demons
Mono-White Momo",Filipe Gusmão won 2-0-0
Round 2,61,"Lucas Hyttel He/Him
GiorgioCanezin He/Him","Mono-Green Landfall
Azorius Prison",Lucas Hyttel won 2-1-0
Round 2,62,"Nomae He/Him
Stefan Kramm","Selesnya Ouroboroid
Boros Dragons",Stefan Kramm won 2-1-0
Round 2,63,"SquirrelSovereign
Ethanv83 He/Him","Izzet Prowess
Selesnya Landfall",Ethanv83 won 2-0-0
Round 2,64,"RobinVahland He/Him
Yanatoy","Songcrafter Control
Izzet Opus",Yanatoy won 2-0-0
Round 2,65,"Michael Boardman He/Him
Martin Richardson He/Him","Mono-Red Aggro
Azorius Control",Michael Boardman won 2-0-0
Round 2,66,"Pirrakos He/Him
Maciej Barwik He/Him","Dimir Excruciator
Izzet Prowess",Pirrakos won 2-1-0
Round 2,67,"Sean Goddard He/Him
DanoClark","Selesnya Ouroboroid
Four-Color Control",DanoClark won 2-1-0
Round 2,68,"MY13Dragonfly They/Them
wailingpath He/Him","Bant Rhythm
Orzhov Lifegain",wailingpath won 2-0-0
Round 2,69,"JackNewell He/Him
ZakP He/Him","Boros Discard
Mono-Green Landfall",ZakP won 2-0-0
Round 2,70,"Liam Tiller-Collins He/Him
Alex Göbel He/Him","Selesnya Ouroboroid
Dimir Midrange",Liam Tiller-Collins won 2-0-0
Round 2,71,"superaggo He/Him
Alex Hillier He/Him","Four-Color Elementals
Four-Color Elementals",1-1-0 Draw
Round 2,72,"Jamie Walsh He/Him
André Compal","Four-Color Control
Selesnya Landfall",Jamie Walsh won 2-1-0
Round 2,73,"Picomtg
Alex Winter","Bant Rhythm
Boros Mobilize",Picomtg won 2-0-0
Round 2,74,"Jorge Muniz
fabse He/Him","Dimir Excruciator
Izzet Prowess",fabse won 2-0-0
Round 2,75,"Valentin Orru He/Him
Crowtaur She/Her","Izzet Prowess
Izzet Prowess",Valentin Orru won 2-0-0
Round 2,76,"Kristoffer Payumo He/Him
David Dunitza He/Him","Four-Color Elementals
Izzet Spellementals",David Dunitza won 2-1-0
Round 2,77,"Pier Paolo Moro They/Them
SimD22","Izzet Prowess
Jeskai Control",Pier Paolo Moro won 2-1-0
Round 2,78,"Fabian Klein
Gargaroth He/Him","Dimir Excruciator
Simic Ouroboroid",Gargaroth won 2-1-0
Round 2,79,"Ben Jones
StrongEUW He/Him","-
-",Ben Jones won 2-1-0
Round 2,80,"M0J0 He/Him
Zaraffyro","Dimir Midrange
Izzet Prowess",1-1-0 Draw
Round 2,81,"Chris Mander He/Him
Lewis Foster He/Him","Izzet Prowess
Selesnya Landfall",Chris Mander won 2-0-0
Round 2,82,"Jake Swales He/They
Martin Forrester He/They","Izzet Lessons
Sultai Reanimator",Jake Swales won 2-1-0
Round 2,83,"Brad Barclay He/Him
Callum Laird He/Him","Four-Color Control
Izzet Prowess",Callum Laird won 2-1-0
Round 2,84,"karim mzoughi
Petr96 He/Him","Grixis Lizards
Four-Color Control",karim mzoughi won 2-0-0
Round 2,85,"Unkillable13 He/Him
Neil Deacon He/Him","Izzet Prowess
Izzet Prowess",Neil Deacon won 2-0-0
Round 2,86,"Sytse He/Him
Guliver He/Him","Sultai Control
Selesnya Landfall",Guliver won 2-0-0
Round 2,87,"Vincent Reiter He/Him
ClaudioBisioo","Izzet Prowess
Four-Color Control",ClaudioBisioo won 2-1-0
Round 2,88,"Coulsy He/Him
jamestimms He/They","Azorius Artifacts
Azorius Prison",Coulsy won 2-0-0
Round 2,89,"Lucca LiPuma
Antoine Bernier He/Him","Izzet Prowess
Izzet Lessons",Lucca LiPuma won 2-0-0
Round 2,90,"Nick Arnold He/Him
Mattia Colombo He/Him","Dimir Excruciator
Dimir Control",1-1-0 Draw
Round 2,91,"Bolutin He/They
StannersPOTUS","Dimir Midrange
Mardu Discard",StannersPOTUS won 2-1-0
Round 2,92,"Cantthinkofanything
Zurgo128","Mono-Green Landfall
Izzet Lessons",Cantthinkofanything won 2-1-0
Round 2,93,"Francesco Alacca He/Him
Bratwurst","Izzet Lessons
Selesnya Landfall",Francesco Alacca won 2-0-0
Round 2,94,"Matthieu Tassa He/Him
George Worsnop He/Him","Izzet Prowess
Izzet Prowess",George Worsnop won 2-0-0
Round 2,95,"TheRiedl He/Him
Léo Thiémard He/Him","Izzet Lessons
Bant Rhythm",TheRiedl won 2-1-0
Round 2,96,"Jonatan Svendsen He/Him
Marie Kirkkola She/Her","Selesnya Landfall
Selesnya Landfall",1-1-0 Draw
Round 2,97,"Inherentmac He/Him
Sandiagos He/Him","Grixis Discard
Abzan Lifegain",Inherentmac won 2-1-0
Round 2,98,"Leonardo Canalejo He/Him
Dan Rose","Boros Dragons
Izzet Lessons",Dan Rose won 2-0-0
Round 2,99,"TomaszDudziec He/Him
George Stuart He/Him","Izzet Prowess
Izzet Spellementals",TomaszDudziec won 2-1-0
Round 2,100,"Marco Oliveto He/Him
Elevenzees He/Him","Golgari Rhythm
Izzet Lessons",Marco Oliveto won 2-1-0
Round 2,101,"Graveturner He/Him
Skite He/They","Izzet Lessons
Selesnya Landfall",Skite won 2-1-0
Round 2,102,"T0bb3 He/Him
Ben Seck He/Him","Izzet Prowess
Bant Rhythm",Ben Seck won 2-0-0
Round 2,103,"Rasmus Nilsson He/Him
Tobia Daniele Nappi He/Him","Selesnya Landfall
Four-Color Control",Tobia Daniele Nappi won 2-1-0
Round 2,104,"Julian Lamprecht He/Him
Aeryn McCann She/They","Selesnya Landfall
Izzet Lessons",Julian Lamprecht won 2-0-0
Round 2,105,"EricNewton He/Him
Josef Zivec He/Him","Jeskai Control
Bant Rhythm",EricNewton won 2-0-0
Round 2,106,"HoneycombH She/Her
gwendalvador He/Him","Selesnya Landfall
Selesnya Landfall",gwendalvador won 2-0-0
Round 2,107,"Jonathan Lee
AnilDG He/Him","Izzet Lessons
Azorius Prison",AnilDG won 2-0-0
Round 2,108,"Landstar He/They
Andrew Berry","Selesnya Ouroboroid
Izzet Spellementals",Andrew Berry won 2-0-0
Round 2,109,"HarryHollingworth He/They
Josh Corless He/Him","Bant Rhythm
Izzet Spellementals",Josh Corless won 2-0-0
Round 2,110,"Thomas Duffy He/Him
Etienne Foare He/Him","Selesnya Landfall
Izzet Lessons",Etienne Foare won 2-1-0
Round 2,111,"Seal100 He/Him
Geri925 He/Him","Dimir Bounce
Selesnya Rhythm",Geri925 won 2-0-0
Round 2,112,"Andrew Stevenson He/Him
Yat Ka Leung He/Him","Jeskai Control
Izzet Prowess",Yat Ka Leung won 2-1-0
Round 2,113,"Björn Kimminich He/Him
ANNAVALILA He/Him","Izzet Prowess
Izzet Prowess",Björn Kimminich won 2-0-0
Round 2,114,"Daniel Bjerkan He/Him
Marco Capitanio","Selesnya Landfall
Izzet Lessons",Marco Capitanio won 2-0-0
